id,date,market,commodity,price
683,2020-04-10,bwaise,MAIZE,579
684,2021-04-02,none,beans,2957
685,2020-01-25,kansanga,maize,991
686,2021-03-05,mukono,BEANS,2628
687,2021-04-22,nakasero,beans,-2000
688,2021-05-08,none,MAIZE,4910
689,2020-06-30,nakasero,BEANS,4161
690,2020-05-26,kansanga,MAIZE,3263
691,2020-07-26,mukono,maize,2369
692,2020-12-29,nakasero,BEANS,4144
693,2021-01-17,none,BEANS,2006
694,2020-04-30,nakasero,maize,3752
695,2021-03-25,kansanga,maize,-2000
696,2020-02-12,mukono,beans,1190
697,2020-06-07,bwaise,MAIZE,4130
698,2021-03-05,bwaise,maize,-2000
699,2021-03-18,kansanga,BEANS,4928
700,2020-03-10,none,MAIZE,4240
701,2020-10-15,kansanga,beans,4445
702,2020-08-14,nakasero,beans,1775
703,2020-14-50,bwaise,beans,4883
703,2021-04-29,kansanga,beans,-2000
705,2020-04-28,mukono,beans,4080
706,2021-01-12,kansanga,BEANS,1148
707,2021-01-26,none,beans,4857
708,2021-03-12,mukono,MAIZE,1404
709,2020-05-19,none,BEANS,658
710,2020-01-12,bwaise,maize,1524
711,2020-04-29,mukono,MAIZE,-2000
712,2021-02-06,kansanga,beans,759
713,2021-05-02,bwaise,maize,3714
714,2020-04-08,nakasero,BEANS,1499
715,2020-07-16,kansanga,MAIZE,774
716,2020-02-18,none,MAIZE,3056
717,2021-01-07,mukono,maize,2947
718,2021-03-18,bwaise,maize,4056
719,2020-05-21,none,maize,2491
719,2021-02-05,kansanga,MAIZE,1233
721,2020-12-17,none,beans,991
722,2020-12-25,none,maize,2406
723,2020-11-26,nakasero,BEANS,674
724,2020-03-09,nakasero,maize,4084
725,2020-09-07,bwaise,MAIZE,3151
726,2021-03-01,none,MAIZE,1769
727,2020-10-04,nakasero,BEANS,-2000
728,2020-04-04,mukono,beans,2456
729,2021-05-10,none,BEANS,4575
730,2020-05-24,nakasero,BEANS,1404
731,2020-01-23,bwaise,MAIZE,2155
732,2020-01-17,none,BEANS,4807
733,2020-01-26,nakasero,MAIZE,1080
733,2020-12-01,kansanga,maize,997
735,2021-03-31,kansanga,beans,977
736,2020-01-21,mukono,beans,2268
737,2021-01-06,bwaise,BEANS,4810
738,2021-04-30,bwaise,BEANS,3432
739,2020-08-06,mukono,MAIZE,3789
740,2020-09-30,none,BEANS,3081
741,2021-03-08,nakasero,BEANS,4027
742,2020-05-03,none,MAIZE,2581
743,2021-05-06,kansanga,maize,2830
744,2021-03-31,nakasero,maize,2317
745,2021-01-30,nakasero,MAIZE,4271
746,2020-07-06,none,MAIZE,2960
747,2021-04-14,bwaise,maize,4452
748,2020-12-19,none,maize,2960
749,2020-07-14,mukono,maize,3239
750,2020-08-01,mukono,MAIZE,593
751,2020-01-28,nakasero,maize,1725
752,2020-03-19,mukono,BEANS,4634
753,2021-02-06,kansanga,MAIZE,1176
754,2020-10-07,kansanga,beans,4610
755,2021-01-25,bwaise,BEANS,4496
756,2020-10-14,none,MAIZE,2681
757,2021-04-18,none,maize,3888
758,2020-06-13,nakasero,maize,1886
759,2021-02-15,kansanga,MAIZE,2412
760,2021-01-22,mukono,maize,2491
761,2021-03-20,nakasero,maize,1411
762,2020-06-18,bwaise,MAIZE,4786
763,2020-11-14,bwaise,maize,4815
764,2020-05-25,bwaise,beans,568
765,2020-12-05,nakasero,maize,-2000
766,2020-04-28,kansanga,maize,4470
767,2020-04-05,bwaise,BEANS,676
768,2020-06-05,nakasero,BEANS,1786
768,2020-06-30,nakasero,MAIZE,4606
770,2020-05-11,kansanga,maize,2795
771,2020-07-20,bwaise,maize,4765
772,2020-11-16,bwaise,BEANS,1751
773,2020-11-05,nakasero,BEANS,2193
774,2020-12-16,bwaise,MAIZE,4791
775,2021-04-10,bwaise,MAIZE,4866
776,2020-06-11,bwaise,maize,3891
777,2021-01-16,nakasero,MAIZE,1374
778,2020-14-50,none,beans,2391
779,2020-01-14,nakasero,maize,4404
780,2020-08-28,nakasero,MAIZE,4525
781,2020-04-25,mukono,BEANS,622
782,2020-04-23,bwaise,MAIZE,4098
783,2020-06-15,kansanga,MAIZE,842
784,2021-01-03,nakasero,BEANS,4892
785,2021-02-06,mukono,maize,847
786,2020-10-02,kansanga,maize,4728
787,2020-04-07,nakasero,BEANS,2994
788,2020-03-26,kansanga,beans,946
789,2020-08-25,kansanga,maize,1427
790,2021-04-02,none,MAIZE,3149
791,2020-10-29,bwaise,BEANS,3154
792,2021-02-11,bwaise,maize,4181
793,2020-12-28,kansanga,MAIZE,3617
794,2020-06-20,none,MAIZE,1684
795,2020-08-02,nakasero,beans,4155
796,2021-04-05,bwaise,MAIZE,-2000
797,2020-14-50,kansanga,BEANS,547
798,2020-04-21,none,BEANS,4119
799,2020-05-05,none,beans,2200
800,2020-11-30,nakasero,maize,765
801,2020-06-01,nakasero,maize,-2000
802,2020-12-10,nakasero,MAIZE,3450
803,2020-06-02,nakasero,beans,1054
804,2020-02-03,nakasero,BEANS,2748
805,2020-04-17,bwaise,maize,4833
806,2020-12-18,none,beans,3092
807,2020-11-15,nakasero,MAIZE,4566
808,2020-09-09,bwaise,MAIZE,2085
808,2020-14-50,mukono,MAIZE,3896
810,2020-10-13,bwaise,maize,2807
811,2020-06-02,none,beans,1432
812,2021-01-05,none,maize,2089
813,2020-12-10,kansanga,BEANS,1612
814,2021-04-01,none,beans,3891
815,2020-09-23,nakasero,beans,653
816,2021-02-13,nakasero,maize,2797
817,2020-07-11,none,MAIZE,3691
818,2021-02-04,nakasero,beans,2724
819,2020-05-01,nakasero,BEANS,2979
820,2020-02-27,nakasero,maize,1258
821,2020-14-50,kansanga,MAIZE,4460
822,2021-02-01,nakasero,MAIZE,1304
823,2020-12-12,bwaise,MAIZE,4263
824,2020-02-29,mukono,beans,1213
825,2020-02-22,none,beans,-2000
826,2020-04-17,nakasero,MAIZE,2766
827,2020-12-09,mukono,beans,2741
828,2020-10-13,none,maize,3369
829,2021-04-27,nakasero,MAIZE,3050
830,2020-08-15,mukono,MAIZE,-2000
831,2020-07-15,mukono,maize,1966
832,2020-11-18,kansanga,beans,2123
833,2020-09-30,mukono,BEANS,1261
834,2020-08-27,mukono,BEANS,4312
835,2020-03-14,none,beans,3711
836,2020-06-18,nakasero,BEANS,1035
837,2020-08-24,bwaise,beans,1543
838,2020-12-31,mukono,beans,1081
839,2020-07-24,none,BEANS,2496
840,2020-07-15,mukono,beans,4031
841,2021-02-07,nakasero,MAIZE,1138
842,2021-03-04,kansanga,maize,4292
843,2020-08-15,bwaise,beans,1070
844,2020-11-01,kansanga,beans,1003
845,2021-03-30,none,maize,1722
846,2020-11-11,none,BEANS,3093
847,2020-12-13,nakasero,BEANS,3320
848,2020-11-09,none,BEANS,2909
849,2021-05-10,mukono,maize,3442
850,2020-01-16,bwaise,BEANS,3729
851,2020-07-26,kansanga,BEANS,1920
852,2020-07-15,nakasero,BEANS,1528
853,2020-01-09,bwaise,BEANS,1612
854,2020-07-31,kansanga,BEANS,4222
855,2020-08-18,kansanga,beans,3979
856,2021-03-09,bwaise,beans,4974
857,2020-01-20,none,BEANS,1427
858,2020-02-10,bwaise,beans,1140
859,2020-05-05,kansanga,maize,4917
860,2020-01-28,nakasero,maize,4699
861,2020-06-18,kansanga,beans,2913
862,2021-04-17,none,beans,2633
863,2020-03-27,none,maize,2890
864,2020-05-26,kansanga,maize,1129
865,2020-03-08,none,beans,2604
865,2020-03-30,none,MAIZE,3529
867,2020-12-24,bwaise,BEANS,4820
868,2020-02-13,bwaise,MAIZE,3882
869,2020-08-13,bwaise,MAIZE,3326
870,2021-02-23,mukono,maize,3766
871,2021-04-30,none,MAIZE,3695
872,2021-03-21,kansanga,maize,4176
873,2020-09-28,mukono,maize,3398
874,2021-04-15,nakasero,beans,1305
875,2020-08-24,bwaise,MAIZE,1973
876,2020-14-50,mukono,maize,-2000
877,2020-08-16,nakasero,MAIZE,2563
878,2020-14-50,mukono,maize,2276
879,2020-12-28,mukono,maize,1564
880,2020-11-27,none,MAIZE,2009
881,2021-04-24,mukono,BEANS,2764
882,2020-12-07,nakasero,beans,1106
883,2020-07-17,nakasero,maize,2668
884,2021-04-20,bwaise,BEANS,4530
885,2020-08-08,bwaise,maize,2621
886,2020-10-19,nakasero,BEANS,-2000
887,2020-01-01,mukono,BEANS,3201
888,2020-09-20,kansanga,BEANS,1074
889,2020-14-50,kansanga,maize,3440
890,2020-01-29,mukono,beans,3285
891,2021-01-27,nakasero,MAIZE,822
892,2020-06-02,kansanga,maize,3443
893,2020-08-12,bwaise,MAIZE,-2000
894,2020-05-02,kansanga,BEANS,4928
895,2021-05-09,kansanga,maize,-2000
896,2020-01-22,kansanga,maize,4785
897,2021-03-23,none,MAIZE,2408
898,2020-03-13,kansanga,maize,875
899,2020-01-08,bwaise,maize,1297
900,2020-10-29,mukono,maize,2306
901,2020-06-21,kansanga,beans,4971
902,2021-02-10,bwaise,maize,3248
903,2021-01-22,kansanga,MAIZE,1851
904,2020-01-21,bwaise,maize,3581
905,2020-14-50,kansanga,maize,-2000
906,2020-11-29,none,beans,4399
907,2020-11-23,nakasero,BEANS,1929
908,2020-04-02,kansanga,maize,2967
909,2020-14-50,bwaise,MAIZE,4843
910,2021-03-17,none,MAIZE,2204
911,2021-02-11,bwaise,BEANS,1808
912,2020-11-26,nakasero,beans,2559
913,2021-01-23,kansanga,maize,929
914,2021-02-06,mukono,BEANS,1080
915,2020-10-30,none,beans,3168
916,2020-04-26,mukono,MAIZE,2138
917,2020-08-29,none,BEANS,4070
918,2020-08-20,bwaise,BEANS,4249
919,2021-05-14,nakasero,MAIZE,762
920,2020-03-10,mukono,BEANS,1902
921,2020-05-31,none,MAIZE,1892
922,2020-04-27,mukono,BEANS,4507
923,2020-08-30,kansanga,beans,-2000
924,2020-05-06,nakasero,BEANS,1720
925,2020-08-01,mukono,maize,4630
926,2020-09-02,mukono,BEANS,1180
927,2020-14-50,kansanga,MAIZE,2923
928,2020-01-09,kansanga,beans,4262
929,2020-01-13,kansanga,BEANS,3820
930,2020-11-16,kansanga,maize,1079
931,2020-09-28,mukono,beans,2710
932,2020-10-21,bwaise,maize,3250
933,2021-04-29,nakasero,maize,3494
934,2020-07-06,bwaise,maize,2177
935,2020-10-03,mukono,BEANS,2218
936,2020-06-13,nakasero,beans,3964
937,2020-06-25,kansanga,BEANS,1505
938,2021-02-26,none,beans,3515
939,2021-02-18,mukono,MAIZE,4250
940,2020-04-01,nakasero,maize,2760
941,2020-03-18,bwaise,maize,4935
942,2020-08-03,kansanga,maize,1015
943,2021-03-03,none,beans,3308
944,2020-09-05,none,BEANS,1580
945,2021-02-08,nakasero,MAIZE,2860
946,2020-06-29,nakasero,BEANS,1817
947,2021-05-13,bwaise,MAIZE,1457
948,2020-03-05,kansanga,beans,2180
949,2020-06-11,nakasero,MAIZE,4922
950,2020-03-03,mukono,BEANS,1690
951,2020-03-20,mukono,beans,2921
952,2021-04-28,none,MAIZE,4121
953,2020-09-02,mukono,MAIZE,1457
954,2021-03-06,bwaise,BEANS,3173
955,2020-10-25,none,MAIZE,2776
956,2021-03-10,kansanga,maize,3731
957,2020-11-05,none,maize,3457
958,2020-08-06,nakasero,BEANS,2831
959,2020-08-16,none,maize,4139
960,2020-08-14,nakasero,MAIZE,3972
961,2021-03-03,none,maize,2984
962,2020-06-20,mukono,BEANS,3854
963,2020-03-30,none,BEANS,1621
964,2020-05-28,none,BEANS,-2000
965,2020-06-04,kansanga,BEANS,520
966,2020-11-23,kansanga,maize,2856
967,2020-12-18,bwaise,maize,2770
968,2020-11-02,nakasero,BEANS,2612
969,2020-12-21,mukono,beans,643
970,2020-01-30,bwaise,beans,1609
971,2020-07-03,kansanga,beans,-2000
972,2020-02-09,none,MAIZE,2001
973,2020-03-26,none,beans,2966
974,2020-07-04,mukono,beans,605
975,2021-02-02,kansanga,BEANS,1835
976,2020-04-23,bwaise,maize,1125
977,2020-01-09,kansanga,beans,3470
978,2020-11-01,none,beans,2995
979,2020-04-23,bwaise,MAIZE,3018
980,2020-02-10,kansanga,maize,4467
981,2020-02-25,mukono,maize,2572
982,2020-01-06,mukono,maize,2182
983,2020-12-09,nakasero,maize,2772
984,2020-03-23,none,MAIZE,1059
985,2020-01-08,none,MAIZE,2808
986,2020-01-03,mukono,MAIZE,4388
987,2020-08-13,mukono,MAIZE,3609
988,2020-07-27,mukono,beans,1403
989,2020-07-03,nakasero,maize,4544
990,2020-11-03,nakasero,BEANS,3836
991,2020-04-06,mukono,BEANS,3510
992,2020-09-08,mukono,BEANS,1196
993,2020-12-21,none,maize,1882
994,2020-06-22,bwaise,BEANS,3979
995,2020-12-31,none,beans,3778
996,2021-05-01,kansanga,BEANS,1707
997,2020-05-08,kansanga,BEANS,1602
998,2021-03-01,mukono,BEANS,1967
999,2020-03-19,nakasero,maize,4759
20,2020-09-28,mukono,beans,1416
21,2021-03-01,nakasero,MAIZE,1145
22,2020-02-05,none,MAIZE,4393
23,2020-09-27,none,BEANS,4917
24,2020-12-31,nakasero,BEANS,3559
25,2020-03-02,bwaise,MAIZE,672
26,2020-04-22,mukono,maize,982
27,2021-03-16,nakasero,maize,2781
28,2020-03-08,none,BEANS,4374
29,2020-02-19,kansanga,beans,4325
